left, middle, right, top
29.6875, 34.0, 34.875, 32.6875
29.625, 34.0625, 35.0, 32.75
29.5625, 34.0625, 35.0, 32.75
29.5625, 34.125, 35.125, 32.75
29.625, 34.1875, 35.125, 32.8125
29.5625, 34.1875, 35.125, 32.75
29.5625, 34.1875, 35.25, 32.8125
29.5625, 34.3125, 35.3125, 32.75
29.5625, 34.3125, 35.25, 32.75
29.5, 34.3125, 35.375, 32.8125
29.5625, 34.3125, 35.375, 32.8125
29.5, 34.375, 35.4375, 32.8125
29.5, 34.375, 35.4375, 32.8125
29.5, 34.4375, 35.5, 32.8125
29.4375, 34.4375, 35.5, 32.8125
29.5, 34.4375, 35.5625, 32.8125
29.5, 34.4375, 35.5625, 32.8125
29.4375, 34.5, 35.625, 32.8125
29.4375, 34.5, 35.625, 32.8125
29.5, 34.5, 35.625, 32.8125
29.4375, 34.5, 35.625, 32.8125
29.4375, 34.5, 35.625, 32.8125
29.4375, 34.5625, 35.6875, 32.8125
29.4375, 34.5625, 35.6875, 32.8125
29.4375, 34.5625, 35.6875, 32.8125
29.4375, 34.5625, 35.6875, 32.8125
29.4375, 34.5625, 35.75, 32.8125
29.375, 34.625, 35.75, 32.75
29.4375, 34.625, 35.8125, 32.75
29.4375, 34.625, 35.8125, 32.8125
29.4375, 34.5625, 35.8125, 32.875
29.4375, 34.625, 35.8125, 32.8125
29.5, 34.625, 35.875, 32.8125
29.5, 34.6875, 35.8125, 32.875
29.5, 34.6875, 35.875, 32.8125
29.4375, 34.625, 35.875, 32.875
29.5, 34.6875, 35.875, 32.875
29.5, 34.625, 35.9375, 32.8125
29.5, 34.625, 35.875, 32.8125
29.4375, 34.6875, 35.875, 32.875
29.4375, 34.6875, 35.875, 32.875
29.4375, 34.6875, 35.9375, 32.875
29.4375, 34.75, 35.9375, 32.875
29.4375, 34.6875, 35.9375, 32.875
29.4375, 34.6875, 35.9375, 32.8125
29.4375, 34.6875, 35.9375, 32.8125
29.375, 34.6875, 35.9375, 32.8125
29.4375, 34.6875, 35.9375, 32.8125
29.4375, 34.6875, 35.9375, 32.875
29.4375, 34.6875, 35.9375, 32.8125
29.4375, 34.6875, 36.0, 32.875
29.4375, 34.6875, 36.0, 32.8125
29.4375, 34.75, 35.9375, 32.875
29.4375, 34.6875, 36.0, 32.8125
29.4375, 34.75, 36.0, 32.8125
29.4375, 34.6875, 35.9375, 32.8125
29.4375, 34.6875, 36.0, 32.8125
29.4375, 34.75, 36.0, 32.8125
29.4375, 34.6875, 36.0, 32.8125
29.375, 34.6875, 36.0, 32.8125
29.375, 34.6875, 36.0, 32.8125
29.375, 34.75, 36.0, 32.8125
29.375, 34.75, 36.0, 32.8125
29.4375, 34.6875, 36.0, 32.8125
29.4375, 34.75, 36.0, 32.875
29.4375, 34.6875, 36.0, 32.8125
29.5, 34.75, 36.0, 32.8125
29.5, 34.75, 36.0, 32.875
29.5, 34.75, 36.0, 32.875
29.5, 34.75, 36.0, 32.875
29.5, 34.75, 36.0625, 32.875
29.4375, 34.75, 36.0625, 32.875
29.5, 34.75, 36.0625, 32.875
29.5, 34.75, 36.0625, 32.875
29.5, 34.75, 36.0625, 32.875
29.4375, 34.8125, 36.0625, 32.8125
29.4375, 34.8125, 36.0625, 32.875
29.5, 34.8125, 36.0625, 32.875
29.5, 34.8125, 36.0625, 32.875
29.5, 34.75, 36.0625, 32.875
29.5, 34.75, 36.0625, 32.875
29.5, 34.75, 36.0625, 32.875
29.5, 34.75, 36.0625, 32.875
29.5, 34.75, 36.0625, 32.875
29.5, 34.8125, 36.125, 32.875
29.5, 34.75, 36.125, 32.875
29.5, 34.8125, 36.0625, 32.875
29.5, 34.8125, 36.0625, 32.875
