left, middle, right, top
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.375, 35.0625
32.25, 35.1875, 35.375, 35.0625
32.3125, 35.1875, 35.375, 35.0625
32.3125, 35.1875, 35.375, 35.125
32.25, 35.125, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.3125, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.3125, 35.1875, 35.3125, 35.0625
32.3125, 35.1875, 35.3125, 35.0625
32.3125, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.375, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.3125, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.3125, 35.125, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0
32.3125, 35.1875, 35.375, 35.0625
32.3125, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.125
32.3125, 35.1875, 35.375, 35.0625
32.3125, 35.125, 35.375, 35.0
32.25, 35.1875, 35.375, 35.0
32.25, 35.1875, 35.375, 35.0
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.125, 35.375, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.375, 35.0625
32.25, 35.1875, 35.375, 35.0625
32.3125, 35.1875, 35.3125, 35.0625
32.3125, 35.1875, 35.25, 35.0625
32.25, 35.125, 35.25, 35.0625
32.25, 35.125, 35.3125, 35.0625
32.3125, 35.125, 35.25, 35.0625
32.3125, 35.125, 35.3125, 35.0625
32.25, 35.125, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.3125, 35.0625
32.25, 35.1875, 35.25, 35.0625
32.25, 35.125, 35.25, 35.0625
32.25, 35.125, 35.25, 35.0625
32.25, 35.125, 35.25, 35.0625
32.25, 35.125, 35.25, 35.0625
32.25, 35.125, 35.25, 35.0625
32.25, 35.125, 35.3125, 35.0625
32.25, 35.125, 35.25, 35.0
32.25, 35.125, 35.25, 35.0625
32.25, 35.125, 35.25, 35.0
32.25, 35.1875, 35.3125, 35.0
32.3125, 35.125, 35.25, 35.0
32.25, 35.125, 35.25, 35.0625
32.25, 35.125, 35.25, 35.0
32.25, 35.125, 35.25, 35.0
32.25, 35.125, 35.25, 35.0
32.25, 35.125, 35.25, 35.0
32.25, 35.1875, 35.1875, 35.0
32.25, 35.125, 35.25, 35.0
32.25, 35.125, 35.25, 35.0
32.1875, 35.125, 35.25, 35.0
32.25, 35.125, 35.25, 35.0625
32.25, 35.125, 35.25, 35.0
32.25, 35.125, 35.1875, 35.0625
32.25, 35.125, 35.1875, 35.0625
32.3125, 35.125, 35.1875, 35.0625
32.25, 35.0625, 35.1875, 35.0625
32.25, 35.125, 35.1875, 35.0625
32.25, 35.125, 35.1875, 35.125
32.3125, 35.125, 35.1875, 35.0625
32.3125, 35.125, 35.1875, 35.0625
32.3125, 35.125, 35.1875, 35.0625
32.25, 35.0625, 35.1875, 35.0625
32.25, 35.0625, 35.25, 35.0625
