left, middle, right, top
29.8125, 35.0625, 35.8125, 32.875
29.8125, 35.0, 35.8125, 32.8125
29.75, 35.0625, 35.8125, 32.8125
29.75, 35.0625, 35.8125, 32.8125
29.8125, 35.0625, 35.8125, 32.875
29.8125, 35.0, 35.75, 32.8125
29.75, 35.0625, 35.8125, 32.8125
29.8125, 35.0, 35.8125, 32.8125
29.8125, 35.0625, 35.8125, 32.8125
29.8125, 35.0625, 35.75, 32.8125
29.75, 35.0625, 35.8125, 32.875
29.75, 35.0625, 35.8125, 32.8125
29.8125, 35.0625, 35.8125, 32.8125
29.75, 35.0, 35.8125, 32.8125
29.8125, 35.0, 35.8125, 32.875
29.8125, 35.0625, 35.8125, 32.8125
29.75, 35.0, 35.8125, 32.8125
29.75, 35.0, 35.8125, 32.8125
29.8125, 35.0, 35.875, 32.8125
29.8125, 35.0, 35.8125, 32.8125
29.75, 35.0, 35.8125, 32.8125
29.75, 35.0, 35.8125, 32.8125
29.75, 35.0, 35.8125, 32.8125
29.8125, 35.0625, 35.8125, 32.8125
29.8125, 35.0, 35.8125, 32.8125
29.8125, 34.9375, 35.625, 32.875
29.875, 35.0, 35.625, 32.875
29.875, 34.9375, 35.5625, 32.8125
29.75, 34.9375, 35.5625, 32.75
29.75, 34.875, 35.4375, 32.6875
